id_batiment	id_salle	num_salle	capacite_salle	possede_tableau	possede_retro
5	119	119	87	1	1
5	120	120	122	1	0
5	121	121	154	1	0
5	122	122	182	1	0
5	123	123	189	0	1
5	124	124	227	1	0
5	125	125	182	1	0
5	126	126	153	1	1
5	127	127	212	0	1
5	128	128	278	0	0
5	129	129	262	1	1
5	130	130	266	1	0
5	131	131	30	1	1
5	132	132	211	0	0
5	133	133	248	0	1
5	134	134	136	0	1
5	135	135	81	0	0
5	136	136	276	0	0
5	137	137	233	1	0
5	138	138	175	0	0
5	139	139	235	0	0
5	140	140	249	1	0
5	141	141	257	1	0
5	142	142	204	1	1
5	143	143	179	1	1
5	144	144	153	0	1
5	145	145	216	0	1
6	146	146	268	0	0
6	147	147	143	1	1
6	148	148	300	0	1
6	149	149	144	0	0
6	150	150	245	0	1
6	151	151	36	1	0
6	152	152	300	1	0
6	153	153	274	0	1
6	154	154	272	0	0
6	155	155	201	0	0
6	156	156	174	0	0
6	157	157	62	1	1
6	158	158	271	0	1
6	159	159	33	1	1
6	160	160	30	1	0
6	161	161	168	0	1
6	162	162	150	0	0
6	163	163	102	1	0
6	164	164	132	1	1
6	165	165	183	1	0
6	166	166	283	0	1
6	167	167	146	0	0
6	168	168	202	1	1
6	169	169	181	1	0
6	170	170	252	0	1
6	171	171	104	0	1
6	172	172	215	1	0
6	173	173	80	0	0
6	174	174	213	1	0
7	175	175	148	0	0
7	176	176	164	0	0
7	177	177	216	0	0
7	178	178	162	0	1
7	179	179	132	1	0
7	180	180	299	0	1
7	181	181	206	1	1
7	182	182	158	0	1
7	183	183	187	0	1
7	184	184	287	1	1
7	185	185	297	1	0
7	186	186	120	0	0
7	187	187	245	0	0
7	188	188	148	0	0
7	189	189	256	1	1
7	190	190	68	1	1
7	191	191	179	1	1
7	192	192	80	1	1
7	193	193	123	0	1
7	194	194	135	1	0
7	195	195	287	1	1
7	196	196	243	0	0
7	197	197	128	1	1
7	198	198	278	1	0
7	199	199	279	0	1
7	200	200	272	1	0
7	201	201	60	0	0
7	202	202	113	0	1
7	203	203	63	0	1
8	204	204	190	0	0
8	205	205	32	1	1
8	206	206	250	0	0
8	207	207	89	0	0
8	208	208	77	0	1
8	209	209	298	0	1
8	210	210	292	0	0
8	211	211	210	1	1
8	212	212	196	0	1
8	213	213	294	1	1
8	214	214	148	0	0
8	215	215	222	1	0
8	216	216	146	0	0
8	217	217	293	0	1
8	218	218	164	0	0
8	219	219	128	0	0
8	220	220	279	1	1
8	221	221	102	1	1
8	222	222	85	1	0
8	223	223	190	0	1
8	224	224	161	0	0
8	225	225	249	0	0
8	226	226	163	1	0
8	227	227	254	1	0
8	228	228	149	0	1
8	229	229	140	0	1
8	230	230	79	0	1
8	231	231	197	1	0
8	232	232	203	1	1
9	233	233	35	1	1
9	234	234	118	1	0
9	235	235	143	0	1
9	236	236	268	0	0
9	237	237	70	1	1
9	238	238	144	1	0
9	239	239	143	0	1
9	240	240	33	1	1
9	241	241	159	1	1
9	242	242	286	0	0
9	243	243	262	1	1
9	244	244	243	0	0
9	245	245	48	1	0
9	246	246	220	0	0
9	247	247	156	0	0
9	248	248	225	1	0
9	249	249	195	0	1
9	250	250	166	0	0
9	251	251	110	1	0
9	252	252	106	0	0
9	253	253	233	1	1
9	254	254	52	0	0
9	255	255	250	0	1
9	256	256	264	1	1
9	257	257	254	1	0
9	258	258	244	1	1
9	259	259	153	0	0
9	260	260	195	1	1
9	261	261	244	1	1
